arch %LUT_RELU %REG_RELU %DSP_RELU %LUT_SIG %REG_SIG %DSP_SIG 
fix2 0.66 0.22 0.0 0.7 0.25 0.0
fix3 1.3 0.29 0.0 1.26 0.32 0.0
fix4 2.26 0.36 0.0 2.26 0.40 0.0
fix5 3.01 0.43 0.0 2.99 0.48 0.0
fix6 4.52 0.50 0.0 4.46 0.56 0.0
fix7 6.16 0.58 0.1 5.70 0.64 0.0
fix8 7.11 0.65 0.0 6.70 0.72 0.0
fix9 9.20 0.72 0.0 8.66 0.80 0.0
fix10 10.24 0.79 0.0 9.86 0.89 0.0
fix11 3.64 0.87 15.91 3.39 0.98 15.91
fix12 6.05 0.94 15.91 3.69 1.05 15.91
fix13 6.66 1.00 15.91 3.92 1.13 15.91
fix14 7.26 1.07 15.91 4.22 1.20 15.91
fix15 7.34 1.13 15.91 4.46 1.27 15.91
fix16 7.85 1.20 15.91 4.77 1.35 15.91
ulaw 10.30 0.82 15.91 9.03 0.90 15.91
fp16 33.81 1.16 15.91 33.53 1.31 15.91
